-123.44757,48.43039,"Fisgard Lighthouse-Victoria,BC",,,"{name:""","Fisgard Lighthouse-Victoria,BC",""", lat:",48.43039,",",lon:,-123.44757,"},","{name:""Fisgard Lighthouse-Victoria,BC"", lat:48.43039,lon:-123.44757},"
-130.70875,54.568611,"Green Island Lighthouse-Green Island,BC",,,"{name:""","Green Island Lighthouse-Green Island,BC",""", lat:",54.568611,",",lon:,-130.70875,"},","{name:""Green Island Lighthouse-Green Island,BC"", lat:54.568611,lon:-130.70875},"
-130.361083,54.172333,"Holland Rock Lighthouse-Holland Rock,BC",,,"{name:""","Holland Rock Lighthouse-Holland Rock,BC",""", lat:",54.172333,",",lon:,-130.361083,"},","{name:""Holland Rock Lighthouse-Holland Rock,BC"", lat:54.172333,lon:-130.361083},"
-128.405,52.269694,"Ivory Island Lighthouse-Ivory Island,BC",,,"{name:""","Ivory Island Lighthouse-Ivory Island,BC",""", lat:",52.269694,",",lon:,-128.405,"},","{name:""Ivory Island Lighthouse-Ivory Island,BC"", lat:52.269694,lon:-128.405},"
-133.059422,54.255426,"Langara Point Lighthouse-Langara Island,BC",,,"{name:""","Langara Point Lighthouse-Langara Island,BC",""", lat:",54.255426,",",lon:,-133.059422,"},","{name:""Langara Point Lighthouse-Langara Island,BC"", lat:54.255426,lon:-133.059422},"
-130.346389,54.116111,"Lawyer Islands Lighthouse-Lawyer Islands,BC",,,"{name:""","Lawyer Islands Lighthouse-Lawyer Islands,BC",""", lat:",54.116111,",",lon:,-130.346389,"},","{name:""Lawyer Islands Lighthouse-Lawyer Islands,BC"", lat:54.116111,lon:-130.346389},"
-125.923528,49.110417,"Lennard Island Lighthouse-Lennard Island,BC",,,"{name:""","Lennard Island Lighthouse-Lennard Island,BC",""", lat:",49.110417,",",lon:,-125.923528,"},","{name:""Lennard Island Lighthouse-Lennard Island,BC"", lat:49.110417,lon:-125.923528},"
-122.39046,49.14664,"Lightship Relief LV76/WAL 504-Silverdale,BC",,,"{name:""","Lightship Relief LV76/WAL 504-Silverdale,BC",""", lat:",49.14664,",",lon:,-122.39046,"},","{name:""Lightship Relief LV76/WAL 504-Silverdale,BC"", lat:49.14664,lon:-122.39046},"
-130.608778,54.295722,"Lucy Islands Lighthouse-Lucy Islands,BC",,,"{name:""","Lucy Islands Lighthouse-Lucy Islands,BC",""", lat:",54.295722,",",lon:,-130.608778,"},","{name:""Lucy Islands Lighthouse-Lucy Islands,BC"", lat:54.295722,lon:-130.608778},"
-128.721778,52.261444,"McInnes Island Lighthouse-McInnes Island,BC ",,,"{name:""","McInnes Island Lighthouse-McInnes Island,BC ",""", lat:",52.261444,",",lon:,-128.721778,"},","{name:""McInnes Island Lighthouse-McInnes Island,BC "", lat:52.261444,lon:-128.721778},"
